3.055160502378560849e+00 -7.440851747882903933e-01 4.028923805078351350e+00
9.551008014838606286e+00 -1.413367351168574926e+00 -1.483819399437935171e+00
9.884055031187678253e+00 4.758714466360435935e+00 -2.854324805627460826e+00
3.400215325614233564e+00 -2.973212408840818277e+00 -2.907300443233505671e+00
1.610491842330049383e+00 -1.210948071876474863e+01 -1.072921499021308378e+01
-3.515850391205694425e+00 -6.430295943950213200e+00 1.985279520023291111e+00
-5.595473439627745904e+00 -8.832657255163724130e+00 9.133937827159208211e+00
-1.400629984882168833e+00 3.851352212301739630e-01 -8.933518938526098907e+00
-3.498150071876677369e+00 8.291164037816037835e-01 -7.227805497242957067e+00
2.376008416891244313e+00 -3.647663649664052876e+00 -1.833107370132450731e+00
